Model,MSO3054
Firmware Version,2.31

Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,2e-06
Horizontal Delay,0
Sample Interval,2e-09
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Vertical Position,0
Label,
TIME,CH1
-1.000e-05,0.04
-9.998e-06,0.18
-9.996e-06,0.12
-9.994e-06,-0.06
-9.992e-06,-0.156
-9.990e-06,-0.104
-9.988e-06,0.068
-9.986e-06,0.192
-9.984e-06,0.1
-9.982e-06,-0.084
-9.980e-06,-0.156
-9.978e-06,-0.072
-9.976e-06,0.1
-9.974e-06,0.192
-9.972e-06,0.076
-9.970e-06,-0.104
-9.968e-06,-0.156
-9.966e-06,-0.06
-9.964e-06,0.116
-9.962e-06,0.184
-9.960e-06,0.048
-9.958e-06,-0.12
-9.956e-06,-0.152
-9.954e-06,-0.032
-9.952e-06,0.132
-9.950e-06,0.172
-9.948e-06,0.02
-9.946e-06,-0.136
-9.944e-06,-0.14
-9.942e-06,-0.012
-9.940e-06,0.152
-9.938e-06,0.156
-9.936e-06,-0.028
-9.934e-06,-0.14
-9.932e-06,-0.128
-9.930e-06,0.024
-9.928e-06,0.168
-9.926e-06,0.136
-9.924e-06,-0.044
-9.922e-06,-0.152
-9.920e-06,-0.108
-9.918e-06,0.044
-9.916e-06,0.184
-9.914e-06,0.12
-9.912e-06,-0.06
-9.910e-06,-0.148
-9.908e-06,-0.092
-9.906e-06,0.072
-9.904e-06,0.196
-9.902e-06,0.1
-9.900e-06,-0.096
-9.898e-06,-0.16
-9.896e-06,-0.08
-9.894e-06,0.096
-9.892e-06,0.192
-9.890e-06,0.068
-9.888e-06,-0.1
-9.886e-06,-0.144
-9.884e-06,-0.056
-9.882e-06,0.12
-9.880e-06,0.184
-9.878e-06,0.036
-9.876e-06,-0.124
-9.874e-06,-0.156
-9.872e-06,-0.032
-9.870e-06,0.136
-9.868e-06,0.172
-9.866e-06,0
-9.864e-06,-0.136
-9.862e-06,-0.132
-9.860e-06,-0.004
-9.858e-06,0.144
-9.856e-06,0.152
-9.854e-06,-0.02
-9.852e-06,-0.14
-9.850e-06,-0.12
-9.848e-06,0.024
-9.846e-06,0.172
-9.844e-06,0.132
-9.842e-06,-0.048
-9.840e-06,-0.156
-9.838e-06,-0.116
-9.836e-06,0.048
-9.834e-06,0.192
-9.832e-06,0.112
-9.830e-06,-0.068
-9.828e-06,-0.156
-9.826e-06,-0.092
-9.824e-06,0.076
-9.822e-06,0.196
-9.820e-06,0.092
-9.818e-06,-0.092
-9.816e-06,-0.152
-9.814e-06,-0.068
-9.812e-06,0.104
-9.810e-06,0.192
-9.808e-06,0.064
-9.806e-06,-0.108
-9.804e-06,-0.144
-9.802e-06,-0.048
-9.800e-06,0.132
-9.798e-06,0.18
-9.796e-06,0.024
-9.794e-06,-0.116
-9.792e-06,-0.136
-9.790e-06,-0.032
-9.788e-06,0.152
-9.786e-06,0.164
-9.784e-06,0.004
-9.782e-06,-0.14
-9.780e-06,-0.128
-9.778e-06,-0.004
-9.776e-06,0.164
-9.774e-06,0.132
-9.772e-06,-0.02
-9.770e-06,-0.144
-9.768e-06,-0.124
-9.766e-06,0.024
-9.764e-06,0.172
-9.762e-06,0.124
-9.760e-06,-0.064
-9.758e-06,-0.136
-9.756e-06,-0.116
-9.754e-06,0.064
-9.752e-06,0.192
-9.750e-06,0.112
-9.748e-06,-0.072
-9.746e-06,-0.156
-9.744e-06,-0.088
-9.742e-06,0.088
-9.740e-06,0.188
-9.738e-06,0.088
-9.736e-06,-0.092
-9.734e-06,-0.156
-9.732e-06,-0.072
-9.730e-06,0.108
-9.728e-06,0.184
-9.726e-06,0.056
-9.724e-06,-0.104
-9.722e-06,-0.148
-9.720e-06,-0.044
-9.718e-06,0.124
-9.716e-06,0.18
-9.714e-06,0.02
-9.712e-06,-0.128
-9.710e-06,-0.132
-9.708e-06,-0.016
-9.706e-06,0.148
-9.704e-06,0.16
