Model,MSO3054
Firmware Version,2.31

Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,2e-06
Horizontal Delay,0
Sample Interval,2e-09
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Vertical Position,0
Label,
TIME,CH1
-1.000e-05,0.11
-9.998e-06,0.098
-9.996e-06,-0.014
-9.994e-06,-0.156
-9.992e-06,-0.082
-9.990e-06,0.076
-9.988e-06,0.102
-9.986e-06,0.1
-9.984e-06,-0.05
-9.982e-06,-0.154
-9.980e-06,-0.066
-9.978e-06,0.096
-9.976e-06,0.1
-9.974e-06,0.098
-9.972e-06,-0.084
-9.970e-06,-0.152
-9.968e-06,-0.04
-9.966e-06,0.11
-9.964e-06,0.098
-9.962e-06,0.09
-9.960e-06,-0.11
-9.958e-06,-0.146
-9.956e-06,-0.02
-9.954e-06,0.114
-9.952e-06,0.096
-9.950e-06,0.066
-9.948e-06,-0.132
-9.946e-06,-0.13
-9.944e-06,0.008
-9.942e-06,0.11
-9.940e-06,0.098
-9.938e-06,0.042
-9.936e-06,-0.146
-9.934e-06,-0.114
-9.932e-06,0.03
-9.930e-06,0.11
-9.928e-06,0.098
-9.926e-06,0.008
-9.924e-06,-0.152
-9.922e-06,-0.098
-9.920e-06,0.058
-9.918e-06,0.104
-9.916e-06,0.104
-9.914e-06,-0.024
-9.912e-06,-0.158
-9.910e-06,-0.078
-9.908e-06,0.08
-9.906e-06,0.098
-9.904e-06,0.11
-9.902e-06,-0.06
-9.900e-06,-0.156
-9.898e-06,-0.06
-9.896e-06,0.092
-9.894e-06,0.1
-9.892e-06,0.098
-9.890e-06,-0.092
-9.888e-06,-0.148
-9.886e-06,-0.038
-9.884e-06,0.104
-9.882e-06,0.096
-9.880e-06,0.088
-9.878e-06,-0.114
-9.876e-06,-0.138
-9.874e-06,-0.02
-9.872e-06,0.108
-9.870e-06,0.1
-9.868e-06,0.064
-9.866e-06,-0.136
-9.864e-06,-0.124
-9.862e-06,0.01
-9.860e-06,0.108
-9.858e-06,0.11
-9.856e-06,0.036
-9.854e-06,-0.148
-9.852e-06,-0.11
-9.850e-06,0.036
-9.848e-06,0.104
-9.846e-06,0.112
-9.844e-06,0
-9.842e-06,-0.15
-9.840e-06,-0.092
-9.838e-06,0.066
-9.836e-06,0.1
-9.834e-06,0.118
-9.832e-06,-0.034
-9.830e-06,-0.156
-9.828e-06,-0.074
-9.826e-06,0.086
-9.824e-06,0.1
-9.822e-06,0.108
-9.820e-06,-0.068
-9.818e-06,-0.15
-9.816e-06,-0.058
-9.814e-06,0.092
-9.812e-06,0.1
-9.810e-06,0.104
-9.808e-06,-0.096
-9.806e-06,-0.142
-9.804e-06,-0.034
-9.802e-06,0.106
-9.800e-06,0.104
-9.798e-06,0.078
-9.796e-06,-0.12
-9.794e-06,-0.132
-9.792e-06,-0.012
-9.790e-06,0.1
-9.788e-06,0.106
-9.786e-06,0.06
-9.784e-06,-0.136
-9.782e-06,-0.122
-9.780e-06,0.012
-9.778e-06,0.108
-9.776e-06,0.114
-9.774e-06,0.026
-9.772e-06,-0.15
-9.770e-06,-0.104
-9.768e-06,0.042
-9.766e-06,0.096
-9.764e-06,0.12
-9.762e-06,-0.01
-9.760e-06,-0.152
-9.758e-06,-0.092
-9.756e-06,0.066
-9.754e-06,0.096
-9.752e-06,0.12
-9.750e-06,-0.042
-9.748e-06,-0.154
-9.746e-06,-0.074
-9.744e-06,0.082
-9.742e-06,0.098
-9.740e-06,0.114
-9.738e-06,-0.076
-9.736e-06,-0.148
-9.734e-06,-0.056
-9.732e-06,0.1
-9.730e-06,0.102
-9.728e-06,0.102
-9.726e-06,-0.1
-9.724e-06,-0.146
-9.722e-06,-0.03
-9.720e-06,0.098
-9.718e-06,0.104
-9.716e-06,0.08
-9.714e-06,-0.124
-9.712e-06,-0.132
-9.710e-06,-0.006
-9.708e-06,0.104
-9.706e-06,0.114
-9.704e-06,0.048
-9.702e-06,-0.14
